survey,country,code_type,years,codes,n_years,n_obs,immature_codes,mature_codes
BITS,DE,M6,2015--2026,"61, 62, 63, 64, 65",12,71700,61,"62, 63, 64, 65"
BITS,DE,Numeric,2000--2009,"1, 2, 3, 4, 5",10,45826,1,"2, 3, 4, 5"
BITS,DE,Roman,2010--2015,"I, III, IV, V, VI, VII, VIII",6,29050,I,"III, IV, V, VI, VII, VIII"
BITS,LV,M6,"2000--2001, 2003--2007, 2009, 2015--2017, 2019--2023, 2025","61, 62, 63, 64, 65",17,19056,61,"62, 63, 64, 65"
BITS,LV,Numeric,2002,"1, 2, 4, 5",1,142,1,"2, 4, 5"
BITS,LV,Roman,"2002, 2006, 2008, 2010--2015, 2017--2018","I, III, IV, V, VI, VII",11,7730,I,"III, IV, V, VI, VII"
BITS,LV,SMSF,2024--2026,"A, Ba, Bb, C, D, Db",3,785,"A, Ba","Bb, C, D, Db"
BITS,PL,M6,2021--2026,"61, 62, 63, 64, 65",6,30184,61,"62, 63, 64, 65"
BITS,PL,Numeric,"2000--2008, 2010","1, 2, 3, 4, 5",10,7671,1,"2, 3, 4, 5"
BITS,PL,Roman,"2001--2002, 2004--2020","I, II, III, IV, V, VI, VII, VIII",19,47678,"I, II","III, IV, V, VI, VII, VIII"
BITS,SE,M6,"2000, 2020","61, 62, 63, 65",2,1933,61,"62, 63, 65"
BITS,SE,Numeric,2000--2007,"1, 2, 3, 4, 5",8,14243,1,"2, 3, 4, 5"
BITS,SE,Roman,2007--2020,"I, II, III, IV, V, VI, VII, VIII",14,26092,"I, II","III, IV, V, VI, VII, VIII"
BITS,SE,SMSF,2021--2026,"A, Ba, B, Bb, C, Ca, Cb, D, Da, Db, E",6,12080,"A, Ba","B, Bb, C, Ca, Cb, D, Da, Db, E"
BITS,RU,M6,2021,"61, 62, 63, 64, 65",1,2764,61,"62, 63, 64, 65"
BITS,RU,Numeric,2000--2011,"1, 2, 3, 4, 5",12,57156,1,"2, 3, 4, 5"
BITS,RU,Roman,"2013, 2016--2018","I, II, III, IV, V, VI, VII, VIII",4,12070,"I, II","III, IV, V, VI, VII, VIII"
BITS,DK,M6,2004--2025,"61, 62, 63, 64, 65",22,99280,61,"62, 63, 64, 65"
BITS,DK,Numeric,2000--2003,"1, 2, 3, 4, 5",4,15320,1,"2, 3, 4, 5"
BITS,DK,SMSF,2025--2026,"A, Ba, B, Bb, C, Ca, Cb, D, Da, Db, E",2,3638,"A, Ba","B, Bb, C, Ca, Cb, D, Da, Db, E"
BITS,EE,Numeric,"2000, 2005--2011","1, 2, 3, 4, 5",8,5354,1,"2, 3, 4, 5"
BITS,EE,Roman,2012--2025,"I, III, IV, V, VI",14,5239,I,"III, IV, V, VI"
BITS,LT,M6,2011--2015,"61, 62, 63, 64, 65",5,3792,61,"62, 63, 64, 65"
BITS,LT,Numeric,2005--2012,"1, 2, 3, 4, 5",8,10749,1,"2, 3, 4, 5"
