species,ices_area,stock,comments
Agonus cataphractus,3.d.25,,no
Agonus cataphractus,3.d.26,,no
Agonus cataphractus,4.b,,no
Alosa,3.d.25,,no
Alosa,3.d.26,,no
Alosa,4.b,,no
Alosa,4.c,,no
Amblyraja radiata,4.a,rjr.27.23a4,
Amblyraja radiata,4.b,rjr.27.23a4,
Ammodytes marinus,3.a.20,,sandeel areas
Ammodytes marinus,4.a,,sandeel areas
Ammodytes marinus,4.b,,sandeel areas
Ammodytes marinus,4.c,,sandeel areas
Ammodytes tobianus,3.d.25,,sandeel areas
Ammodytes tobianus,3.d.26,,sandeel areas
Anarhichas lupus,4.a,,no
Anarhichas lupus,4.b,,no
Argentina,4.a,,group of species
Argyrosomus regius,8.a,,no
Argyrosomus regius,8.b,,no
Arnoglossus laterna,4.a,,no
Arnoglossus laterna,4.b,,no
Arnoglossus laterna,4.c,,no
Brosme brosme,4.a,usk.27.3a45b6a7-912b,
Brosme brosme,4.b,usk.27.3a45b6a7-912b,
Buglossidium luteum,4.b,,no
Buglossidium luteum,4.c,,no
Chelidonichthys cuculus,4.b,gur.27.3-8,
Chelidonichthys cuculus,4.c,gur.27.3-8,
Chelidonichthys cuculus,7.d,gur.27.3-8,
Chelidonichthys cuculus,7.e,gur.27.3-8,
Chelidonichthys cuculus,7.g,gur.27.3-8,
Chelidonichthys cuculus,7.h,gur.27.3-8,
Chelidonichthys cuculus,7.j.2,gur.27.3-8,
Chelidonichthys cuculus,8.a,gur.27.3-8,
Chelidonichthys cuculus,8.b,gur.27.3-8,
Chelidonichthys cuculus,8.c,gur.27.3-8,
Chelidonichthys cuculus,8.d.2,gur.27.3-8,
Chelidonichthys lucerna,4.b,,no
Chelidonichthys lucerna,4.c,,no
Chelidonichthys lucerna,7.d,,no
Chelidonichthys lucerna,7.e,,no
Chelidonichthys lucerna,8.a,,no
Clupea harengus,3.a.20,her.27.20-24,hard with spawners and stuff talk to FRA
Clupea harengus,3.a.21,her.27.20-24,hard with spawners and stuff talk to FRA
Clupea harengus,3.b.23,her.27.20-24,hard with spawners and stuff talk to FRA
Clupea harengus,3.c.22,her.27.20-24,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.24,her.27.20-24,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.25,her.27.25-2932,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.26,her.27.25-2932,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.27,her.27.25-2932,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.28.1,her.27.28,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.28.2,her.27.25-2932,hard with spawners and stuff talk to FRA
Clupea harengus,3.d.29,her.27.25-2932,hard with spawners and stuff talk to FRA
Clupea harengus,4.a,her.27.1-24a514a,
Clupea harengus,4.b,her.27.3a47d,
Clupea harengus,4.c,her.27.3a47d,
Clupea harengus,6.a,,two stocks
Clupea harengus,7.a,,two stocks
Clupea harengus,7.b,her.27.6aS7bc,
Clupea harengus,7.d,her.27.3a47d,
Conger conger,7.a,,no
Conger conger,7.b,,no
Conger conger,7.c.2,,no
Conger conger,7.k.2,,no
Conger conger,8.b,,no
Conger conger,8.c,,no
Conger conger,9.a,,no
Cyclopterus lumpus,3.d.25,,no
Cyclopterus lumpus,3.d.26,,no
Dicentrarchus labrax,4.a,,
Dicentrarchus labrax,4.b,bss.27.4bc7ad-h,
Dicentrarchus labrax,4.c,bss.27.4bc7ad-h,
Dicentrarchus labrax,7.d,bss.27.4bc7ad-h,
Dicentrarchus labrax,7.e,bss.27.4bc7ad-h,
Dicentrarchus labrax,7.g,bss.27.4bc7ad-h,
Dicentrarchus labrax,7.h,bss.27.4bc7ad-h,
Dicentrarchus labrax,8.a,bss.27.8ab,
Dicentrarchus labrax,8.b,bss.27.8ab,
Dipturus,4.a,,no
Dipturus intermedius,7.g,,no
Dipturus intermedius,7.h,,no
Dipturus intermedius,7.j.2,,no
Echiichthys vipera,4.b,,no
Echiichthys vipera,4.c,,no
Enchelyopus cimbrius,3.d.25,,no
Enchelyopus cimbrius,3.d.26,,no
Enchelyopus cimbrius,4.a,,no
Enchelyopus cimbrius,4.b,,no
Engraulis encrasicolus,3.a.20,,no
Engraulis encrasicolus,3.d.25,,no
Engraulis encrasicolus,3.d.26,,no
Engraulis encrasicolus,4.a,,no
Engraulis encrasicolus,4.b,,no
Engraulis encrasicolus,4.c,,no
Engraulis encrasicolus,8.a,ane.27.8,
Engraulis encrasicolus,8.b,ane.27.8,
Engraulis encrasicolus,8.c,ane.27.8,
Engraulis encrasicolus,9.a,,two stocks
Etmopterus spinax,3.a.20,,no
Etmopterus spinax,4.a,,no
Eutrigla gurnardus,3.a.20,gug.27.3a47d,
Eutrigla gurnardus,4.a,gug.27.3a47d,
Eutrigla gurnardus,4.b,gug.27.3a47d,
Eutrigla gurnardus,4.c,gug.27.3a47d,
Eutrigla gurnardus,7.d,gug.27.3a47d,
Gadiculus argenteus,4.a,,no
Gadus morhua,3.a.20,cod.27.46a7d20,
Gadus morhua,3.a.21,cod.27.21,
Gadus morhua,3.b.23,cod.27.22-24,
Gadus morhua,3.c.22,cod.27.22-24,
Gadus morhua,3.d.24,,two stocks
Gadus morhua,3.d.25,cod.27.24-32,
Gadus morhua,3.d.26,cod.27.24-32,
Gadus morhua,3.d.27,cod.27.24-32,
Gadus morhua,3.d.28.2,cod.27.24-32,
Gadus morhua,3.d.29,cod.27.24-32,
Gadus morhua,4.a,cod.27.46a7d20,
Gadus morhua,4.b,cod.27.46a7d20,
Gadus morhua,4.c,cod.27.46a7d20,
Gadus morhua,6.a,cod.27.46a7d20,
Gadus morhua,6.b.1,cod.27.6b,
Gadus morhua,6.b.2,cod.27.6b,
Gadus morhua,7.a,cod.27.7a,
Gadus morhua,7.b,,no?
Gadus morhua,7.c.2,,no?
Gadus morhua,7.d,cod.27.46a7d20,
Gadus morhua,7.e,cod.27.7e-k,
Gadus morhua,7.g,cod.27.7e-k,
Gadus morhua,7.h,cod.27.7e-k,
Gadus morhua,7.j.2,cod.27.7e-k,
Galeorhinus galeus,4.c,gag.27.nea,
Galeorhinus galeus,7.d,gag.27.nea,
Galeorhinus galeus,7.e,gag.27.nea,
Galeus melastomus,4.a,,no
Galeus melastomus,7.h,sho.27.67,
Galeus melastomus,8.a,sho.27.89a,
Gasterosteus aculeatus,3.d.26,,no
Glyptocephalus cynoglossus,3.a.20,wit.27.3a47d,
Glyptocephalus cynoglossus,3.a.21,wit.27.3a47d,
Glyptocephalus cynoglossus,3.c.22,,no
Glyptocephalus cynoglossus,4.a,wit.27.3a47d,
Glyptocephalus cynoglossus,4.b,wit.27.3a47d,
Glyptocephalus cynoglossus,7.b,,no
Glyptocephalus cynoglossus,7.c.2,,no
Glyptocephalus cynoglossus,7.g,,no
Glyptocephalus cynoglossus,7.h,,no
Glyptocephalus cynoglossus,7.j.2,,no
Glyptocephalus cynoglossus,7.k.2,,no
Gobius,3.d.26,,no
Helicolenus dactylopterus,4.a,,no
Helicolenus dactylopterus,7.b,,no
Helicolenus dactylopterus,7.c.2,,no
Helicolenus dactylopterus,7.k.2,,no
Helicolenus dactylopterus,8.c,,no
Helicolenus dactylopterus,9.a,,no
Hippoglossoides platessoides,4.a,,no
Hippoglossoides platessoides,4.b,,no
Hippoglossus hippoglossus,3.a.21,,no
Hippoglossus hippoglossus,4.a,,no
Hippoglossus hippoglossus,4.b,,no
Hippoglossus hippoglossus,4.c,,no
Hyperoplus lanceolatus,3.d.25,,no
Hyperoplus lanceolatus,3.d.26,,no
Hyperoplus lanceolatus,4.b,,no
Lepidorhombus boscii,7.b,ldb.27.7b-k8abd,
Lepidorhombus boscii,7.c.2,ldb.27.7b-k8abd,
Lepidorhombus boscii,7.k.2,ldb.27.7b-k8abd,
Lepidorhombus boscii,8.b,ldb.27.7b-k8abd,
Lepidorhombus boscii,8.c,ldb.27.8c9a,
Lepidorhombus boscii,9.a,ldb.27.8c9a,
Lepidorhombus whiffiagonis,4.a,lez.27.4a6a,
Lepidorhombus whiffiagonis,4.b,,no
Lepidorhombus whiffiagonis,7.b,meg.27.7b-k8abd,
Lepidorhombus whiffiagonis,7.c.2,meg.27.7b-k8abd,
Lepidorhombus whiffiagonis,7.e,meg.27.7b-k8abd,
Lepidorhombus whiffiagonis,7.g,meg.27.7b-k8abd,
Lepidorhombus whiffiagonis,7.h,meg.27.7b-k8abd,
Lepidorhombus whiffiagonis,7.j.2,meg.27.7b-k8abd,
